source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
eosat,eogs2,1001006.544,1001440.568,10000000000,0.057,high_dl
eogs1,eosat,1027003.433,1027387.970,64000,0.057,low_ul
eosat,eogs1,1027003.433,1027387.970,8000000,0.057,low_dl
eosat,eogs2,1047088.429,1047578.241,10000000000,0.057,high_dl
eosat,eogs1,1050441.409,1050975.454,8000000,0.057,low_dl
eogs1,eosat,1050441.409,1050975.454,64000,0.057,low_ul
eosat,eogs1,1073601.543,1073983.604,8000000,0.057,low_dl
eogs1,eosat,1073601.543,1073983.604,64000,0.057,low_ul
eosat,eogs2,1088432.363,1088896.734,10000000000,0.057,high_dl
eosat,eogs1,1096702.803,1097227.186,8000000,0.057,low_dl
eogs1,eosat,1096702.803,1097227.186,64000,0.057,low_ul
eogs1,eosat,1120339.363,1120762.643,64000,0.057,low_ul
eosat,eogs1,1120339.363,1120762.643,8000000,0.057,low_dl
eosat,eogs2,1128789.987,1129171.115,10000000000,0.057,high_dl
eogs1,eosat,1143687.225,1144173.857,64000,0.057,low_ul
eosat,eogs1,1143687.225,1144173.857,8000000,0.057,low_dl
eosat,eogs1,1166737.571,1167188.288,8000000,0.057,low_dl
eogs1,eosat,1166737.571,1167188.288,64000,0.057,low_ul
eosat,eogs2,1175858.664,1176347.793,10000000000,0.057,high_dl
eosat,eogs1,1190044.969,1190504.636,8000000,0.057,low_dl
eogs1,eosat,1190044.969,1190504.636,64000,0.057,low_ul
eogs1,eosat,1213629.783,1214129.864,64000,0.057,low_ul
eosat,eogs1,1213629.783,1214129.864,8000000,0.057,low_dl
eosat,eogs2,1216183.545,1216601.334,10000000000,0.057,high_dl
eosat,eogs1,1236909.268,1237317.440,8000000,0.057,low_dl
eogs1,eosat,1236909.268,1237317.440,64000,0.057,low_ul
eosat,eogs2,1257465.864,1257838.525,10000000000,0.057,high_dl
eosat,eogs1,1259905.661,1260425.026,8000000,0.057,low_dl
eogs1,eosat,1259905.661,1260425.026,64000,0.057,low_ul
eogs1,eosat,1283425.371,1283816.812,64000,0.057,low_ul
eosat,eogs1,1283425.371,1283816.812,8000000,0.057,low_dl
eosat,eogs2,1303581.580,1304030.931,10000000000,0.057,high_dl
eogs1,eosat,1306896.187,1307432.250,64000,0.057,low_ul
eosat,eogs1,1306896.187,1307432.250,8000000,0.057,low_dl
eosat,eogs1,1330087.822,1330462.198,8000000,0.057,low_dl
eogs1,eosat,1330087.822,1330462.198,64000,0.057,low_ul
eosat,eogs2,1344890.514,1345303.098,10000000000,0.057,high_dl
eosat,eogs1,1376776.894,1377180.806,8000000,0.057,low_dl
eogs1,eosat,1376776.894,1377180.806,64000,0.057,low_ul
eosat,eogs2,1390984.112,1391460.063,10000000000,0.057,high_dl
eogs1,eosat,1400146.791,1400652.568,64000,0.057,low_ul
eosat,eogs1,1400146.791,1400652.568,8000000,0.057,low_dl
eosat,eogs1,1423226.185,1423653.575,8000000,0.057,low_dl
eogs1,eosat,1423226.185,1423653.575,64000,0.057,low_ul
eosat,eogs2,1432315.962,1432762.423,10000000000,0.057,high_dl
eosat,eogs1,1446468.550,1446950.745,8000000,0.057,low_dl
eogs1,eosat,1446468.550,1446950.745,64000,0.057,low_ul
eosat,eogs1,1470077.897,1470557.593,8000000,0.057,low_dl
eogs1,eosat,1470077.897,1470557.593,64000,0.057,low_ul
eosat,eogs2,1478391.195,1478888.828,10000000000,0.057,high_dl
eosat,eogs1,1493377.301,1493807.330,8000000,0.057,low_dl
eogs1,eosat,1493377.301,1493807.330,64000,0.057,low_ul
eosat,eogs1,1516379.434,1516883.193,8000000,0.057,low_dl
eogs1,eosat,1516379.434,1516883.193,64000,0.057,low_ul
eosat,eogs2,1519741.983,1520216.603,10000000000,0.057,high_dl
eosat,eogs1,1539844.519,1540250.418,8000000,0.057,low_dl
eogs1,eosat,1539844.519,1540250.418,64000,0.057,low_ul
eosat,eogs2,1560086.435,1560482.392,10000000000,0.057,high_dl
eosat,eogs1,1563349.731,1563882.075,8000000,0.057,low_dl
eogs1,eosat,1563349.731,1563882.075,64000,0.057,low_ul
eogs1,eosat,1586570.291,1586945.148,64000,0.057,low_ul
eosat,eogs1,1586570.291,1586945.148,8000000,0.057,low_dl
eosat,eogs2,1607168.440,1607665.696,10000000000,0.057,high_dl
eogs1,eosat,1609597.145,1610133.268,64000,0.057,low_ul
eosat,eogs1,1609597.145,1610133.268,8000000,0.057,low_dl
eogs1,eosat,1633209.963,1633600.190,64000,0.057,low_ul
eosat,eogs1,1633209.963,1633600.190,8000000,0.057,low_dl
eogs1,eosat,1656604.789,1657125.657,64000,0.057,low_ul
eogs1,eosat,1679716.147,1680122.002,64000,0.057,low_ul
eosat,eogs1,1679716.147,1680122.002,8000000,0.057,low_dl
eosat,eogs2,1688774.782,1689163.660,10000000000,0.057,high_dl
eogs1,eosat,1702896.884,1703399.094,64000,0.057,low_ul
eosat,eogs1,1702896.884,1703399.094,8000000,0.057,low_dl
eogs1,eosat,1726523.716,1726980.704,64000,0.057,low_ul
eosat,eogs1,1726523.716,1726980.704,8000000,0.057,low_dl
eosat,eogs2,1734881.502,1735341.748,10000000000,0.057,high_dl
eogs1,eosat,1749842.265,1750295.688,64000,0.057,low_ul
