source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mgs1,mre1,359235.892,365346.690,300000000,1201.271,trunk
mre1,mgs1,359235.892,365346.690,300000000,1201.271,high_dl
mgs1,mre1,366332.194,372452.281,300000000,1201.237,trunk
mre1,mgs1,366332.194,372452.281,300000000,1201.237,high_dl
mr2,mre3,368466.221,369966.221,150000000,0.076,low_ul
mre3,mr2,368466.221,369966.221,10000000,0.076,low_dl
mgs1,mre1,373428.425,379557.943,300000000,1201.206,trunk
mre1,mgs1,373428.425,379557.943,300000000,1201.206,high_dl
mgs2,mre3,377976.014,392376.014,300000000,1201.173,trunk
mre3,mgs2,377976.014,392376.014,300000000,1201.173,high_dl
mgs1,mre1,380524.574,383668.690,300000000,1201.179,trunk
mre1,mgs1,380524.574,383668.690,300000000,1201.179,high_dl
mr2,mre2,383364.957,383899.254,150000000,0.053,low_ul
mre2,mr2,383364.957,383899.254,10000000,0.053,low_dl
mr1,mre1,383417.404,384061.620,150000000,0.054,low_ul
mre1,mr1,383417.404,384061.620,10000000,0.054,low_dl
mgs2,mre2,394395.732,398749.461,300000000,1201.107,trunk
mre2,mgs2,394395.732,398749.461,300000000,1201.107,trunk
mr1,mre3,395379.131,396879.131,150000000,0.076,low_ul
mre3,mr1,395379.131,396879.131,10000000,0.076,low_dl
mr2,mre3,405210.434,406710.434,150000000,0.076,low_ul
mre3,mr2,405210.434,406710.434,10000000,0.076,low_dl
mgs1,mre1,425773.181,429299.836,300000000,1200.945,trunk
mre1,mgs1,425773.181,429299.836,300000000,1200.945,high_dl
mr2,mre2,426338.704,426826.069,150000000,0.053,low_ul
mre2,mr2,426338.704,426826.069,10000000,0.053,low_dl
mr1,mre1,428848.406,429558.869,150000000,0.054,low_ul
mre1,mr1,428848.406,429558.869,10000000,0.054,low_dl
mgs1,mre1,430195.381,436406.102,300000000,1200.929,trunk
mre1,mgs1,430195.381,436406.102,300000000,1200.929,high_dl
mgs1,mre1,437290.933,443512.436,300000000,1200.886,trunk
mre1,mgs1,437290.933,443512.436,300000000,1200.886,high_dl
mr1,mre3,440358.869,441858.869,150000000,0.076,low_ul
mre3,mr1,440358.869,441858.869,10000000,0.076,low_dl
mgs1,mre1,444386.409,450618.849,300000000,1200.846,trunk
mre1,mgs1,444386.409,450618.849,300000000,1200.846,high_dl
