source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
lb,lre2,324803.613,395957.740,150000000,0.073,low_ul
lre2,lb,324803.613,395957.740,1000000000,0.073,high_dl
lgs2,lre2,329059.319,375154.232,300000000,1.255,low_ul
lre2,lgs2,329059.319,375154.232,100000000,1.255,high_dl
lgs2,lb,329271.466,375771.445,50000000,1.271,dwe_ul
lb,lgs2,329271.466,375771.445,250000000,1.271,dwe_dl
lgs2,lgw,330730.147,372955.713,300000000,1.333,low_ul
lgw,lgs2,330730.147,372955.713,1000000000,1.333,high_dl
lb,lre1,352500.612,423902.360,150000000,0.071,low_ul
lre1,lb,352500.612,423902.360,1000000000,0.071,high_dl
lgs3,lre2,358050.976,398098.581,300000000,1.284,low_ul
lre2,lgs3,358050.976,398098.581,100000000,1.284,high_dl
lgs3,lb,358200.511,403026.661,50000000,1.277,dwe_ul
lb,lgs3,358200.511,403026.661,250000000,1.277,dwe_dl
lgs3,lre1,358620.449,402514.317,300000000,1.268,low_ul
lre1,lgs3,358620.449,402514.317,100000000,1.268,high_dl
lgs3,lgw,359049.685,400502.203,300000000,1.340,low_ul
lgw,lgs3,359049.685,400502.203,100000000,1.340,high_dl
lrov,lre2,362927.642,401559.082,150000000,0.104,low_ul
lre2,lrov,362927.642,401559.082,1000000000,0.104,high_dl
lgs1,lgw,393787.074,429254.276,300000000,1.345,low_ul
lgw,lgs1,393787.074,429254.276,100000000,1.345,high_dl
lgs1,lre1,395925.253,428610.276,300000000,1.258,low_ul
lre1,lgs1,395925.253,428610.276,100000000,1.258,high_dl
lgs1,lb,396463.507,428860.829,50000000,1.284,dwe_ul
lb,lgs1,396463.507,428860.829,250000000,1.284,dwe_dl
lgs3,lre2,400141.735,403228.704,300000000,1.295,low_ul
lre2,lgs3,400141.735,403228.704,100000000,1.295,high_dl
lre2,lgw,404714.946,489043.393,150000000,0.289,prox
lgw,lre2,404714.946,489043.393,150000000,0.289,prox
lgw,lre2,404714.946,489043.393,150000000,0.289,prox
lre2,lgw,404714.946,489043.393,150000000,0.289,prox
lb,lre2,411203.904,482342.159,150000000,0.073,low_ul
lre2,lb,411203.904,482342.159,1000000000,0.073,high_dl
lgs2,lre2,419902.634,463519.482,300000000,1.271,low_ul
lre2,lgs2,419902.634,463519.482,100000000,1.271,high_dl
lgs2,lb,420073.061,464116.609,50000000,1.289,dwe_ul
lb,lgs2,420073.061,464116.609,250000000,1.289,dwe_dl
lgs2,lgw,420746.862,461404.485,300000000,1.349,low_ul
lgw,lgs2,420746.862,461404.485,1000000000,1.349,high_dl
lb,lre1,438882.736,510293.776,150000000,0.071,low_ul
lre1,lb,438882.736,510293.776,1000000000,0.071,high_dl
lgs3,lre2,448532.201,483886.064,300000000,1.301,low_ul
lre2,lgs3,448532.201,483886.064,100000000,1.301,high_dl
lgs3,lb,448730.321,491455.600,50000000,1.296,dwe_ul
lb,lgs3,448730.321,491455.600,250000000,1.296,dwe_dl
lgs3,lgw,448875.450,489131.642,300000000,1.351,low_ul
lgw,lgs3,448875.450,489131.642,100000000,1.351,high_dl
lgs3,lre1,449168.030,491000.541,300000000,1.289,low_ul
lre1,lgs3,449168.030,491000.541,100000000,1.289,high_dl
lrov,lre2,455735.651,488283.226,150000000,0.102,low_ul
lre2,lrov,455735.651,488283.226,1000000000,0.102,high_dl
lgs1,lgw,482414.822,519007.084,300000000,1.352,low_ul
