source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
lgw,lgs1,753531.235,783276.309,100000000,1.402,high_dl
lgs1,lgw,753531.235,783276.309,300000000,1.402,low_ul
lrov,lre1,778578.821,795343.978,150000000,0.058,low_ul
lre1,lrov,778578.821,795343.978,1000000000,0.058,high_dl
lre1,lgs1,781695.938,789374.621,100000000,1.376,high_dl
lgs1,lre1,781695.938,789374.621,300000000,1.376,low_ul
lre2,lgs2,781765.154,814354.897,100000000,1.348,high_dl
lgs2,lre2,781765.154,814354.897,300000000,1.348,low_ul
lgw,lgs2,783276.309,812161.127,1000000000,1.418,high_dl
lgs2,lgw,783276.309,812161.127,300000000,1.418,low_ul
lgw,lre1,796243.978,799843.978,150000000,0.254,prox
lre1,lgw,796243.978,799843.978,150000000,0.254,prox
lgw,lgs3,812161.127,840395.62,100000000,1.429,high_dl
lgs3,lgw,812161.127,840395.62,300000000,1.429,low_ul
lre2,lgs3,814354.897,843021.927,100000000,1.372,high_dl
lgs3,lre2,814354.897,843021.927,300000000,1.372,low_ul
lrov,lre2,824820.629,834363.676,150000000,0.079,low_ul
lre2,lrov,824820.629,834363.676,1000000000,0.079,high_dl
lre1,lgs1,836732.759,866113.751,100000000,1.361,high_dl
lgs1,lre1,836732.759,866113.751,300000000,1.361,low_ul
lgw,lgs1,840395.62,873815.868,100000000,1.438,high_dl
lgs1,lgw,840395.62,873815.868,300000000,1.438,low_ul
lrov,lre1,865063.754,886775.986,150000000,0.058,low_ul
lre1,lrov,865063.754,886775.986,1000000000,0.058,high_dl
lre1,lgs1,869446.307,879075.595,100000000,1.391,high_dl
lgs1,lre1,869446.307,879075.595,300000000,1.391,low_ul
lre2,lgs2,872181.157,901865.499,100000000,1.362,high_dl
lgs2,lre2,872181.157,901865.499,300000000,1.362,low_ul
lgw,lgs2,873815.868,898876.009,1000000000,1.449,high_dl
lgs2,lgw,873815.868,898876.009,300000000,1.449,low_ul
lgw,lre1,887675.986,891275.986,150000000,0.291,prox
lre1,lgw,887675.986,891275.986,150000000,0.291,prox
lgw,lgs3,900622.162,927630.552,100000000,1.454,high_dl
lgs3,lgw,900622.162,927630.552,300000000,1.454,low_ul
lre2,lgs3,901865.499,930805.004,100000000,1.383,high_dl
lgs3,lre2,901865.499,930805.004,300000000,1.383,low_ul
lrov,lre2,916268.075,920557.353,150000000,0.068,low_ul
lre2,lrov,916268.075,920557.353,1000000000,0.068,high_dl
lre1,lgs1,924973.513,952870.475,100000000,1.376,high_dl
lgs1,lre1,924973.513,952870.475,300000000,1.376,low_ul
lgw,lgs1,927630.552,964343.013,100000000,1.457,high_dl
lgs1,lgw,927630.552,964343.013,300000000,1.457,low_ul
lrov,lre1,951618.583,978115.253,150000000,0.058,low_ul
lre1,lrov,951618.583,978115.253,1000000000,0.058,high_dl
lre1,lgs1,956679.846,968771.479,100000000,1.4,high_dl
lgs1,lre1,956679.846,968771.479,300000000,1.4,low_ul
lre2,lgs2,962710.799,989466.276,100000000,1.372,high_dl
lgs2,lre2,962710.799,989466.276,300000000,1.372,low_ul
lgw,lgs2,964343.013,986068.849,1000000000,1.46,high_dl
lgs2,lgw,964343.013,986068.849,300000000,1.46,low_ul
lgw,lre1,979015.253,982615.253,150000000,0.296,prox
lre1,lgw,979015.253,982615.253,150000000,0.296,prox
lre2,lgs3,989466.276,1018732.629,100000000,1.389,high_dl
lgs3,lre2,989466.276,1018732.629,300000000,1.389,low_ul
lgw,lgs3,990719.784,1015420.513,100000000,1.46,high_dl
lgs3,lgw,990719.784,1015420.513,300000000,1.46,low_ul
lre1,lgs1,1013421.288,1040114.612,100000000,1.386,high_dl
lgs1,lre1,1013421.288,1040114.612,300000000,1.386,low_ul
lgw,lgs1,1015420.513,1054676.28,100000000,1.458,high_dl
lgs1,lgw,1015420.513,1054676.28,300000000,1.458,low_ul
lrov,lre1,1038254.552,1069519.676,150000000,0.059,low_ul
lre1,lrov,1038254.552,1069519.676,1000000000,0.059,high_dl
lre1,lgs1,1042980.39,1058502.163,100000000,1.403,high_dl
lgs1,lre1,1042980.39,1058502.163,300000000,1.403,low_ul
lre2,lgs2,1053351.345,1077275.038,100000000,1.377,high_dl
lgs2,lre2,1053351.345,1077275.038,300000000,1.377,low_ul
lgw,lgs2,1054676.28,1074136.884,1000000000,1.452,high_dl
lgs2,lgw,1054676.28,1074136.884,300000000,1.452,low_ul
lgw,lre1,1070419.676,1074019.676,150000000,0.271,prox
lre1,lgw,1070419.676,1074019.676,150000000,0.271,prox
lre2,lgs3,1079539.306,1106915.374,100000000,1.39,high_dl
lgs3,lre2,1079539.306,1106915.374,300000000,1.39,low_ul
lgw,lgs3,1080630.44,1104142.58,100000000,1.446,high_dl
lgs3,lgw,1080630.44,1104142.58,300000000,1.446,low_ul
lre1,lgs1,1102142.814,1148266.721,100000000,1.391,high_dl
lgs1,lre1,1102142.814,1148266.721,300000000,1.391,low_ul
lgw,lgs1,1104142.58,1144281.064,100000000,1.441,high_dl
lgs1,lgw,1104142.58,1144281.064,300000000,1.441,low_ul
lrov,lre1,1125008.979,1161272.715,150000000,0.059,low_ul
lre1,lrov,1125008.979,1161272.715,1000000000,0.059,high_dl
lre2,lgs2,1144000.033,1165459.974,100000000,1.378,high_dl
lgs2,lre2,1144000.033,1165459.974,300000000,1.378,low_ul
lgw,lgs2,1144281.064,1163926.596,1000000000,1.426,high_dl
lgs2,lgw,1144281.064,1163926.596,300000000,1.426,low_ul
lgw,lre1,1162172.715,1165772.715,150000000,0.271,prox
lre1,lgw,1162172.715,1165772.715,150000000,0.271,prox
lre2,lgs3,1169713.893,1195484.5,100000000,1.388,high_dl
lgs3,lre2,1169713.893,1195484.5,300000000,1.388,low_ul
lgw,lgs3,1169988.721,1194674.686,100000000,1.416,high_dl
lgs3,lgw,1169988.721,1194674.686,300000000,1.416,low_ul
lre1,lgs1,1191186.926,1238016.549,100000000,1.393,high_dl
lgs1,lre1,1191186.926,1238016.549,300000000,1.393,low_ul
lgw,lgs1,1194674.686,1234816.551,100000000,1.407,high_dl
lgs1,lgw,1194674.686,1234816.551,300000000,1.407,low_ul
lb,lre2,1205492.235,1224178.745,150000000,0.073,low_ul
lre2,lb,1205492.235,1224178.745,1000000000,0.073,high_dl
lrov,lre1,1211967.603,1253858.464,150000000,0.061,low_ul
lre1,lrov,1211967.603,1253858.464,1000000000,0.061,high_dl
lb,lgw,1224178.745,1782009.954,150000000,0.081,low_ul
lgw,lb,1224178.745,1782009.954,1000000000,0.081,high_dl
lre2,lgs2,1234420.213,1254241.622,100000000,1.374,high_dl
lgs2,lre2,1234420.213,1254241.622,300000000,1.374,low_ul
lgw,lgs2,1234816.551,1253896.621,1000000000,1.4,high_dl
lgs2,lgw,1234816.551,1253896.621,300000000,1.4,low_ul
lgw,lre1,1254758.464,1258358.464,150000000,0.271,prox
lre1,lgw,1254758.464,1258358.464,150000000,0.271,prox
lre2,lgs3,1259668.642,1284568.082,100000000,1.383,high_dl
lgs3,lre2,1259668.642,1284568.082,300000000,1.383,low_ul
lgw,lgs3,1261713.252,1283489.336,100000000,1.409,high_dl
lgs3,lgw,1261713.252,1283489.336,300000000,1.409,low_ul
lre1,lgs1,1280564.39,1327662.097,100000000,1.39,high_dl
lgs1,lre1,1280564.39,1327662.097,300000000,1.39,low_ul
lgw,lgs1,1283489.336,1328002.31,100000000,1.414,high_dl
lgs1,lgw,1283489.336,1328002.31,300000000,1.414,low_ul
lrov,lre1,1299335.356,1348105.843,150000000,0.063,low_ul
lre1,lrov,1299335.356,1348105.843,1000000000,0.063,high_dl
lre2,lgs2,1324301.073,1343811.989,100000000,1.367,high_dl
lgs2,lre2,1324301.073,1343811.989,300000000,1.367,low_ul
lgw,lgs2,1328002.31,1340718.89,1000000000,1.426,high_dl
lgs2,lgw,1328002.31,1340718.89,300000000,1.426,low_ul
lgw,lre1,1349005.843,1352605.843,150000000,0.203,prox
lre1,lgw,1349005.843,1352605.843,150000000,0.203,prox
lre2,lgs3,1349228.244,1374227.155,100000000,1.377,high_dl
lgs3,lre2,1349228.244,1374227.155,300000000,1.377,low_ul
lgw,lgs3,1353098.238,1371797.735,100000000,1.431,high_dl
lgs3,lgw,1353098.238,1371797.735,300000000,1.431,low_ul
lre1,lgs1,1370230.317,1417101.396,100000000,1.385,high_dl
lgs1,lre1,1370230.317,1417101.396,300000000,1.385,low_ul
lgw,lgs1,1371797.735,1418586.233,100000000,1.434,high_dl
lgs1,lgw,1371797.735,1418586.233,300000000,1.434,low_ul
lrov,lre1,1387649.221,1444881.86,150000000,0.068,low_ul
lre1,lrov,1387649.221,1444881.86,1000000000,0.068,high_dl
lre2,lgs2,1413455.034,1434160.017,100000000,1.357,high_dl
lgs2,lre2,1413455.034,1434160.017,300000000,1.357,low_ul
lgw,lgs2,1418586.233,1429672.706,1000000000,1.438,high_dl
lgs2,lgw,1418586.233,1429672.706,300000000,1.438,low_ul
lre2,lgs3,1438318.831,1464386.802,100000000,1.373,high_dl
lgs3,lre2,1438318.831,1464386.802,300000000,1.373,low_ul
lgw,lgs3,1442790.565,1461504.401,100000000,1.439,high_dl
lgs3,lgw,1442790.565,1461504.401,300000000,1.439,low_ul
lgw,lre1,1445781.86,1449381.86,150000000,0.267,prox
lre1,lgw,1445781.86,1449381.86,150000000,0.267,prox
lre1,lgs1,1460087.551,1506259.002,100000000,1.376,high_dl
lgs1,lre1,1460087.551,1506259.002,300000000,1.376,low_ul
lgw,lgs1,1461504.401,1506571.555,100000000,1.439,high_dl
lgs1,lgw,1461504.401,1506571.555,300000000,1.439,low_ul
lrov,lre1,1478232.969,1541962.908,150000000,0.077,low_ul
lre1,lrov,1478232.969,1541962.908,1000000000,0.077,high_dl
lre2,lgs2,1502062.734,1525021.05,100000000,1.347,high_dl
lgs2,lre2,1502062.734,1525021.05,300000000,1.347,low_ul
lgw,lgs2,1506571.555,1520843.137,1000000000,1.434,high_dl
lgs2,lgw,1506571.555,1520843.137,300000000,1.434,low_ul
lre2,lgs3,1527018.679,1554849.978,100000000,1.371,high_dl
lgs3,lre2,1527018.679,1554849.978,300000000,1.371,low_ul
lgw,lgs3,1531041.52,1552215.296,100000000,1.431,high_dl
lgs3,lgw,1531041.52,1552215.296,300000000,1.431,low_ul
lgw,lre1,1542862.908,1546462.908,150000000,0.294,prox
lre1,lgw,1542862.908,1546462.908,150000000,0.294,prox
lre1,lgs1,1550015.762,1595109.995,100000000,1.365,high_dl
lgs1,lre1,1550015.762,1595109.995,300000000,1.365,low_ul
lrov,lre1,1572391.834,1634583.576,150000000,0.089,low_ul
lre1,lrov,1572391.834,1634583.576,1000000000,0.089,high_dl
lre2,lgs2,1589962.038,1615408.993,100000000,1.336,high_dl
