source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
mre1,mgs1,188909.994,194826.790,4000000,1202.097,trunk
mgs1,mre2,193135.693,197512.476,1000000,1202.076,trunk
mre2,mgs1,193135.693,197512.476,4000000,1202.076,trunk
mgs1,mre1,196007.419,201931.290,1000000,1202.066,trunk
mre1,mgs1,196007.419,201931.290,4000000,1202.066,trunk
mgs1,mre2,199844.362,204220.350,1000000,1202.049,trunk
mre2,mgs1,199844.362,204220.350,4000000,1202.049,trunk
mr2,mre2,202410.877,202662.468,15000000,0.053,low_ul
mre2,mr2,202410.877,202662.468,1000000,0.053,low_dl
mgs1,mre1,203104.800,209035.832,1000000,1202.038,trunk
mre1,mgs1,203104.800,209035.832,4000000,1202.038,trunk
mgs2,mre1,205306.003,209035.959,1000000,1202.026,trunk
mre1,mgs2,205306.003,209035.959,4000000,1202.026,trunk
mgs2,mre3,205306.230,230108.880,1000000,1202.051,trunk
mre3,mgs2,205306.230,230108.880,4000000,1202.051,trunk
mr1,mre1,205893.787,206515.405,15000000,0.054,low_ul
mre1,mr1,205893.787,206515.405,1000000,0.054,low_dl
mgs1,mre2,206553.030,210928.223,1000000,1202.024,trunk
mre2,mgs1,206553.030,210928.223,4000000,1202.024,trunk
mgs2,mre2,206553.059,210928.234,1000000,1202.028,trunk
mre2,mgs2,206553.059,210928.234,4000000,1202.028,trunk
mr1,mre3,207664.423,219317.204,15000000,0.076,low_ul
mre3,mr1,207664.423,219317.204,1000000,0.076,low_dl
mr2,mre2,209060.923,209311.742,15000000,0.053,low_ul
mre2,mr2,209060.923,209311.742,1000000,0.053,low_dl
mgs2,mre1,210202.104,216140.534,1000000,1202.009,trunk
mre1,mgs2,210202.104,216140.534,4000000,1202.009,trunk
mgs1,mre1,210202.130,210966.279,1000000,1202.012,trunk
mre1,mgs1,210202.130,210966.279,4000000,1202.012,trunk
mgs2,mre2,213261.732,217636.116,1000000,1201.992,trunk
mre2,mgs2,213261.732,217636.116,4000000,1201.992,trunk
mr1,mre1,213274.077,213609.883,15000000,0.054,low_ul
mre1,mr1,213274.077,213609.883,1000000,0.054,low_dl
mr2,mre3,217147.698,228725.845,15000000,0.076,low_ul
mre3,mr2,217147.698,228725.845,1000000,0.076,low_dl
mgs2,mre1,217299.419,223245.140,1000000,1201.973,trunk
mre1,mgs2,217299.419,223245.140,4000000,1201.973,trunk
mgs2,mre2,219970.403,224343.999,1000000,1201.959,trunk
mre2,mgs2,219970.403,224343.999,4000000,1201.959,trunk
mr2,mre1,222863.611,223530.085,15000000,0.054,low_ul
mre1,mr2,222863.611,223530.085,1000000,0.054,low_dl
mgs2,mre1,224396.695,230109.147,1000000,1201.941,trunk
mre1,mgs2,224396.695,230109.147,4000000,1201.941,trunk
mgs2,mre2,226679.072,230109.304,1000000,1201.930,trunk
mre2,mgs2,226679.072,230109.304,4000000,1201.930,trunk
mr1,mre2,229100.050,229588.497,15000000,0.053,low_ul
mre2,mr1,229100.050,229588.497,1000000,0.053,low_dl
mr1,mre3,244099.535,255635.208,15000000,0.076,low_ul
mre3,mr1,244099.535,255635.208,1000000,0.076,low_dl
mr1,mre1,251308.060,252028.339,15000000,0.054,low_ul
mre1,mr1,251308.060,252028.339,1000000,0.054,low_dl
