source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mgs1,mre1,373428.425,379557.943,1000000,1201.206,trunk
mre1,mgs1,373428.425,379557.943,4000000,1201.206,trunk
mgs2,mre3,377976.014,392376.014,1000000,1201.173,trunk
mre3,mgs2,377976.014,392376.014,4000000,1201.173,trunk
mgs1,mre1,380524.574,383668.690,1000000,1201.179,trunk
mre1,mgs1,380524.574,383668.690,4000000,1201.179,trunk
mr2,mre2,383364.957,383899.254,15000000,0.053,low_ul
mre2,mr2,383364.957,383899.254,1000000,0.053,low_dl
mr1,mre1,383417.404,384061.620,15000000,0.054,low_ul
mre1,mr1,383417.404,384061.620,1000000,0.054,low_dl
mgs2,mre2,394395.732,398749.461,1000000,1201.107,trunk
mre2,mgs2,394395.732,398749.461,4000000,1201.107,trunk
mr1,mre3,395379.131,396879.131,15000000,0.076,low_ul
mre3,mr1,395379.131,396879.131,1000000,0.076,low_dl
mr2,mre3,405210.434,406710.434,15000000,0.076,low_ul
mre3,mr2,405210.434,406710.434,1000000,0.076,low_dl
mgs1,mre1,425773.181,429299.836,1000000,1200.945,trunk
mre1,mgs1,425773.181,429299.836,4000000,1200.945,trunk
mr2,mre2,426338.704,426826.069,15000000,0.053,low_ul
mre2,mr2,426338.704,426826.069,1000000,0.053,low_dl
mr1,mre1,428848.406,429558.869,15000000,0.054,low_ul
mre1,mr1,428848.406,429558.869,1000000,0.054,low_dl
mgs1,mre1,430195.381,436406.102,1000000,1200.929,trunk
mre1,mgs1,430195.381,436406.102,4000000,1200.929,trunk
mgs1,mre1,437290.933,443512.436,1000000,1200.886,trunk
mre1,mgs1,437290.933,443512.436,4000000,1200.886,trunk
mr1,mre3,440358.869,441858.869,15000000,0.076,low_ul
mre3,mr1,440358.869,441858.869,1000000,0.076,low_dl
mgs1,mre1,444386.409,450618.849,1000000,1200.846,trunk
mre1,mgs1,444386.409,450618.849,4000000,1200.846,trunk
mr2,mre3,444468.871,445968.871,15000000,0.076,low_ul
mre3,mr2,444468.871,445968.871,1000000,0.076,low_dl
mgs1,mre1,451481.795,457725.354,1000000,1200.810,trunk
mre1,mgs1,451481.795,457725.354,4000000,1200.810,trunk
mgs1,mre1,458577.077,464831.966,1000000,1200.779,trunk
mre1,mgs1,458577.077,464831.966,4000000,1200.779,trunk
mgs2,mre3,464309.488,478709.488,1000000,1200.780,trunk
mre3,mgs2,464309.488,478709.488,4000000,1200.780,trunk
mgs1,mre1,465672.242,470018.607,1000000,1200.750,trunk
mre1,mgs1,465672.242,470018.607,4000000,1200.750,trunk
mr2,mre2,470598.814,471119.906,15000000,0.053,low_ul
mre2,mr2,470598.814,471119.906,1000000,0.053,low_dl
mr1,mre3,471341.506,472841.506,15000000,0.076,low_ul
mre3,mr1,471341.506,472841.506,1000000,0.076,low_dl
mgs2,mre2,481608.320,485952.626,1000000,1200.668,trunk
mre2,mgs2,481608.320,485952.626,4000000,1200.668,trunk
mr2,mre3,481919.906,483419.906,15000000,0.076,low_ul
mre3,mr2,481919.906,483419.906,1000000,0.076,low_dl
mr1,mre3,507706.603,509206.603,15000000,0.076,low_ul
mre3,mr1,507706.603,509206.603,1000000,0.076,low_dl
mgs1,mre3,512149.584,526549.584,1000000,1200.508,trunk
mre3,mgs1,512149.584,526549.584,4000000,1200.508,trunk
mr2,mre2,513632.524,513977.311,15000000,0.053,low_ul
mre2,mr2,513632.524,513977.311,1000000,0.053,low_dl
mr2,mre3,524777.311,526277.311,15000000,0.076,low_ul
mre3,mr2,524777.311,526277.311,1000000,0.076,low_dl
mgs1,mre1,529523.138,535904.942,1000000,1200.413,trunk
mre1,mgs1,529523.138,535904.942,4000000,1200.413,trunk
mgs1,mre1,536617.033,543012.977,1000000,1200.376,trunk
mre1,mgs1,536617.033,543012.977,4000000,1200.376,trunk
mgs1,mre1,543710.749,550121.203,1000000,1200.343,trunk
mre1,mgs1,543710.749,550121.203,4000000,1200.343,trunk
mr1,mre3,547098.505,548598.505,15000000,0.076,low_ul
mre3,mr1,547098.505,548598.505,1000000,0.076,low_dl
mgs2,mre2,550641.272,553032.158,1000000,1200.305,trunk
mre2,mgs2,550641.272,553032.158,4000000,1200.305,trunk
mgs1,mre1,550804.263,556367.789,1000000,1200.314,trunk
mre1,mgs1,550804.263,556367.789,4000000,1200.314,trunk
mgs2,mre2,555403.548,559740.127,1000000,1200.292,trunk
mre2,mgs2,555403.548,559740.127,4000000,1200.292,trunk
mr2,mre3,556376.083,557876.083,15000000,0.076,low_ul
mre3,mr2,556376.083,557876.083,1000000,0.076,low_dl
mr1,mre1,560942.572,561606.482,15000000,0.054,low_ul
mre1,mr1,560942.572,561606.482,1000000,0.054,low_dl
mgs2,mre2,562112.204,566448.096,1000000,1200.255,trunk
mre2,mgs2,562112.204,566448.096,4000000,1200.255,trunk
mgs2,mre2,568820.858,573156.065,1000000,1200.221,trunk
mre2,mgs2,568820.858,573156.065,4000000,1200.221,trunk
mr1,mre3,583331.589,584831.589,15000000,0.076,low_ul
mre3,mr1,583331.589,584831.589,1000000,0.076,low_dl
mr2,mre3,594037.393,595537.393,15000000,0.076,low_ul
mre3,mr2,594037.393,595537.393,1000000,0.076,low_dl
mgs1,mre3,598526.827,612926.827,1000000,1200.094,trunk
mre3,mgs1,598526.827,612926.827,4000000,1200.094,trunk
mr1,mre1,606389.699,607088.250,15000000,0.054,low_ul
mre1,mr1,606389.699,607088.250,1000000,0.054,low_dl
mr2,mre2,607490.885,607876.165,15000000,0.053,low_ul
mre2,mr2,607490.885,607876.165,1000000,0.053,low_dl
mgs1,mre1,614634.544,621217.627,1000000,1199.973,trunk
mre1,mgs1,614634.544,621217.627,4000000,1199.973,trunk
mr1,mre3,621246.833,622746.833,15000000,0.076,low_ul
mre3,mr1,621246.833,622746.833,1000000,0.076,low_dl
mgs1,mre1,628815.405,635441.223,1000000,1199.900,trunk
mre1,mgs1,628815.405,635441.223,4000000,1199.900,trunk
mr2,mre3,632115.218,633615.218,15000000,0.076,low_ul
mre3,mr2,632115.218,633615.218,1000000,0.076,low_dl
mgs2,mre2,636971.615,640235.803,1000000,1199.860,trunk
mre2,mgs2,636971.615,640235.803,4000000,1199.860,trunk
mgs2,mre2,642616.045,646943.792,1000000,1199.837,trunk
mre2,mgs2,642616.045,646943.792,4000000,1199.837,trunk
mr2,mre2,645305.314,645343.115,15000000,0.053,low_ul
mre2,mr2,645305.314,645343.115,1000000,0.053,low_dl
mgs2,mre2,649324.697,653651.781,1000000,1199.800,trunk
mre2,mgs2,649324.697,653651.781,4000000,1199.800,trunk
mr1,mre1,653298.459,654006.045,15000000,0.054,low_ul
mre1,mr1,653298.459,654006.045,1000000,0.054,low_dl
mgs2,mre2,656033.347,660359.769,1000000,1199.766,trunk
mre2,mgs2,656033.347,660359.769,4000000,1199.766,trunk
mr1,mre3,664806.045,666306.045,15000000,0.076,low_ul
mre3,mr1,664806.045,666306.045,1000000,0.076,low_dl
mr2,mre3,668755.839,670255.839,15000000,0.076,low_ul
mre3,mr2,668755.839,670255.839,1000000,0.076,low_dl
mgs1,mre3,684905.003,699305.003,1000000,1199.612,trunk
mre3,mgs1,684905.003,699305.003,4000000,1199.612,trunk
mr1,mre1,691548.426,692240.576,15000000,0.054,low_ul
mre1,mr1,691548.426,692240.576,1000000,0.054,low_dl
mr2,mre2,694664.588,695163.994,15000000,0.053,low_ul
mre2,mr2,694664.588,695163.994,1000000,0.053,low_dl
mr1,mre3,703040.576,704540.576,15000000,0.076,low_ul
mre3,mr1,703040.576,704540.576,1000000,0.076,low_dl
mr2,mre3,708136.895,709636.895,15000000,0.076,low_ul
mre3,mr2,708136.895,709636.895,1000000,0.076,low_dl
mgs2,mre3,723299.692,737699.692,1000000,1199.401,trunk
mre3,mgs2,723299.692,737699.692,4000000,1199.401,trunk
mr1,mre3,735015.493,736515.493,15000000,0.076,low_ul
mre3,mr1,735015.493,736515.493,1000000,0.076,low_dl
mr2,mre2,738943.204,739440.016,15000000,0.053,low_ul
mre2,mr2,738943.204,739440.016,1000000,0.053,low_dl
mgs2,mre2,743245.787,747563.730,1000000,1199.302,trunk
mre2,mgs2,743245.787,747563.730,4000000,1199.302,trunk
mr2,mre3,750240.016,751740.016,15000000,0.076,low_ul
mre3,mr2,750240.016,751740.016,1000000,0.076,low_dl
mgs1,mre1,771282.824,785682.824,1000000,1199.156,trunk
mre1,mgs1,771282.824,785682.824,4000000,1199.156,trunk
mr1,mre3,771315.181,772815.181,15000000,0.076,low_ul
mre3,mr1,771315.181,772815.181,1000000,0.076,low_dl
mr2,mre2,781881.663,782401.837,15000000,0.053,low_ul
mre2,mr2,781881.663,782401.837,1000000,0.053,low_dl
mr1,mre1,783932.001,784616.420,15000000,0.054,low_ul
mre1,mr1,783932.001,784616.420,1000000,0.054,low_dl
mr2,mre3,793201.837,794701.837,15000000,0.076,low_ul
mre3,mr2,793201.837,794701.837,1000000,0.076,low_dl
mgs2,mre3,809627.551,824027.551,1000000,1198.969,trunk
mre3,mgs2,809627.551,824027.551,4000000,1198.969,trunk
mr1,mre3,810580.116,812080.116,15000000,0.076,low_ul
mre3,mr1,810580.116,812080.116,1000000,0.076,low_dl
mr2,mre3,819973.895,821473.895,15000000,0.076,low_ul
mre3,mr2,819973.895,821473.895,1000000,0.076,low_dl
mgs2,mre2,830458.179,834767.937,1000000,1198.831,trunk
mre2,mgs2,830458.179,834767.937,4000000,1198.831,trunk
mr1,mre1,830841.392,831536.583,15000000,0.054,low_ul
mre1,mr1,830841.392,831536.583,1000000,0.054,low_dl
mr1,mre3,846924.504,848424.504,15000000,0.076,low_ul
mre3,mr1,846924.504,848424.504,1000000,0.076,low_dl
mr2,mre3,857349.995,858849.995,15000000,0.076,low_ul
mre3,mr2,857349.995,858849.995,1000000,0.076,low_dl
mgs1,mre3,857661.424,872061.424,1000000,1198.687,trunk
mre3,mgs1,857661.424,872061.424,4000000,1198.687,trunk
mr1,mre1,869078.753,869783.777,15000000,0.054,low_ul
